bin_center,original_r2,galerkin_r2,wavelet_db32_r2,standard_p4_r2,hybrid_N12_p4_int64_r2,original_r4,galerkin_r4,wavelet_db32_r4,standard_p4_r4,hybrid_N12_p4_int64_r4,original_r8,galerkin_r8,wavelet_db32_r8,standard_p4_r8,hybrid_N12_p4_int64_r8
-14.349999,4.454628070430827e-06,3.3394779790265686e-07,1.4753465006552621e-05,1.940543545972499e-05,6.3629361273902145e-06,2.2850810119498303e-06,2.923471405270754e-07,8.734637452123426e-06,1.5989911419558225e-05,2.589361933959077e-06,4.598521627552669e-07,2.986053004904331e-07,2.0185718879746328e-06,9.656921076300865e-06,1.2302539004720796e-06
-14.25,4.907890047363426e-06,2.683534682372619e-07,1.506370574648429e-05,2.0222636509452967e-05,6.911633835167423e-06,2.5058568611180257e-06,2.744509533632785e-07,8.54379789461389e-06,1.621678869892271e-05,2.666948900452777e-06,5.434668297763908e-07,3.583297778745434e-07,2.1499787275950247e-06,1.050506256664098e-05,1.3258202454385493e-06
-14.15,4.961513459971149e-06,3.6376456557253695e-07,1.5856695009063632e-05,2.09082534486158e-05,6.798263528795543e-06,2.4819678876530795e-06,3.9973996765947046e-07,8.692873475234858e-06,1.7755961337539283e-05,2.744484999127132e-06,4.5388005674545827e-07,4.359637387160323e-07,2.07829294974903e-06,1.0642321186127485e-05,1.3915007709223037e-06
-14.049999,5.313402226246432e-06,4.2340213877434653e-07,1.6447228997942865e-05,2.091441646672119e-05,7.042829645671033e-06,2.6729139851925607e-06,4.832723309222948e-07,9.510344863138645e-06,1.7529405885737642e-05,3.060726590452516e-06,6.330492742450267e-07,4.120792445557249e-07,2.4246982316766115e-06,1.1048530840412629e-05,1.654289225164316e-06
-13.95,5.307388196363369e-06,5.784452927956735e-07,1.681083987610018e-05,2.2053257630627847e-05,7.203773984899137e-06,3.0487634389200087e-06,5.190653311399095e-07,1.0083017277382917e-05,1.774999495268124e-05,3.1382589337845034e-06,5.792942829514402e-07,5.255453288631622e-07,2.657587248960685e-06,1.1997992852373802e-05,1.7677434686394929e-06
-13.849999,5.981247596575796e-06,5.486285251257935e-07,1.797370393280097e-05,2.254226983336216e-05,7.996904729925285e-06,3.2516165835839623e-06,5.250315993139314e-07,1.0894431685503673e-05,1.9062599621450943e-05,3.1680902924706676e-06,5.912384949710575e-07,5.434616468925882e-07,2.5739777624765287e-06,1.251756745573693e-05,1.743855043387608e-06
-13.75,6.195987556756501e-06,6.023044509325211e-07,1.8677563894690735e-05,2.3168664948164194e-05,7.88367552208053e-06,3.2337486160142143e-06,5.548682317996718e-07,1.0912434601430728e-05,1.9134378718706816e-05,3.1800531631797098e-06,6.151327853512995e-07,6.03188459422148e-07,2.938304261046534e-06,1.2338521468266212e-05,1.7199830211094695e-06
-13.65,6.875816797825068e-06,7.096458382274258e-07,1.8701417743853814e-05,2.459993382527086e-05,8.384604980367038e-06,3.764751617536843e-06,8.054538848704913e-07,1.1783520140965384e-05,2.026203621101601e-05,3.603662496361247e-06,8.00269837253147e-07,7.226317187136626e-07,3.266773233317996e-06,1.3108932537678768e-05,1.905120082409447e-06
-13.55,6.971164945560425e-06,7.39455838213026e-07,2.0376956316649276e-05,2.424188541603629e-05,9.076278149848085e-06,3.991433934711322e-06,7.278847172306776e-07,1.2529193066570489e-05,2.1222430940062912e-05,3.925806803099245e-06,7.644295692555087e-07,7.106806151672307e-07,3.577291600286405e-06,1.3956848828271565e-05,2.1021814221658835e-06
-13.450001,7.507938723730929e-06,8.289140463328755e-07,2.1540025794260198e-05,2.6257820274586085e-05,9.171779843388695e-06,3.907943438172159e-06,7.696559344318027e-07,1.3119980146826775e-05,2.1920707019809428e-05,3.806517669997476e-06,8.42074978005177e-07,7.34576044642814e-07,3.869961709671045e-06,1.4058508972070988e-05,2.239561225402955e-06
-13.35,7.806034998920955e-06,8.646862624265223e-07,2.1486149724579262e-05,2.7181922195890137e-05,9.845555338632844e-06,4.307646189628662e-06,9.00906494277314e-07,1.353749479430878e-05,2.258276668769697e-05,4.32554700949385e-06,9.077601134909165e-07,7.823458872849347e-07,4.084920625368783e-06,1.5784318122859113e-05,2.5202288640738716e-06
-13.25,8.623097215659192e-06,9.004749711961454e-07,2.270290094096029e-05,2.6693164558039365e-05,9.935100922682421e-06,4.89835353089976e-06,9.367130364790158e-07,1.4444507474064403e-05,2.2797773958272138e-05,4.3792852190880055e-06,1.122766637340236e-06,8.719357928280556e-07,4.437317207230843e-06,1.5868079158365597e-05,2.4844199193803447e-06
-13.150001,8.85558592314562e-06,1.0078067472419466e-06,2.478987632669331e-05,2.8589323169613276e-05,1.0382260354064071e-05,5.083261154520249e-06,1.038130662279819e-06,1.5017132832646628e-05,2.4056463747633866e-05,4.665624498516125e-06,1.2421980500402015e-06,1.0212301276772812e-06,4.658242818402999e-06,1.7474428614258708e-05,2.7710573292186647e-06
-13.05,9.034486648865733e-06,1.0793669896496588e-06,2.517749767892691e-05,2.9388440671642518e-05,1.0543271858693438e-05,5.304013106066316e-06,1.0918270758460164e-06,1.550040170807149e-05,2.5488396113564456e-05,4.904275368005441e-06,1.3377517461971401e-06,1.0690069757557504e-06,5.183788162017696e-06,1.759387105181345e-05,3.0218857943634578e-06
-12.950001,9.941011797028957e-06,1.1270845665964998e-06,2.5583253227402062e-05,2.9418539044863313e-05,1.1539267878385646e-05,5.799268735730288e-06,1.1276354388186879e-06,1.6866841234688172e-05,2.5518471400034003e-05,5.262301857269238e-06,1.5229015559668094e-06,1.2481820595963262e-06,5.08231082550935e-06,1.817334018777061e-05,3.2667733074544434e-06
-12.85,1.0292755086430533e-05,1.3596446057465316e-06,2.7085787413000002e-05,3.155321420325904e-05,1.1873107619150812e-05,5.900640002136769e-06,1.3304778028068943e-06,1.728432014945462e-05,2.732604264984204e-05,5.512835085203196e-06,1.6005244106287212e-06,1.4691380784129308e-06,5.745166142697032e-06,1.8489689333474012e-05,3.5354869372789858e-06
-12.75,1.1115698424743054e-05,1.5802886865036443e-06,2.857663876774461e-05,3.208993491357719e-05,1.2558897361090714e-05,6.467435553403697e-06,1.5213983843755967e-06,1.8704295363665945e-05,2.7314109880125953e-05,5.7693847699042105e-06,1.9528786652074324e-06,1.5169149264914e-06,6.318488335731246e-06,1.9994664046663758e-05,3.762426977171894e-06
-12.65,1.1634621485305036e-05,1.5206696533444839e-06,2.935216139516852e-05,3.377198187939609e-05,1.2869116321217686e-05,7.064129818008911e-06,1.622840419887212e-06,1.8907329279351544e-05,2.8537490929708355e-05,6.479432899086613e-06,1.85734268198305e-06,1.5826231856125666e-06,6.6291010767513266e-06,2.0848876304800263e-05,3.9714885730479064e-06
-12.55,1.2833145391656145e-05,1.7114824642511164e-06,3.0222538663382653e-05,3.4862991916887616e-05,1.3411661996720331e-05,7.5055663525662836e-06,1.6407237478560355e-06,2.0440483545747853e-05,2.8954865716088085e-05,6.539033824007254e-06,2.09620920944284e-06,1.6841338947660426e-06,6.999308439959377e-06,2.191171516941736e-05,4.067004399133428e-06
-12.450001,1.3113548255348938e-05,2.0096693065768276e-06,3.192837710478103e-05,3.5835394510558205e-05,1.37039987516952e-05,8.084371540035536e-06,1.9629209490547526e-06,2.2164950543638683e-05,3.076894014729375e-05,7.183459678177055e-06,2.2933105783970778e-06,1.749843748620687e-06,7.9608934552338e-06,2.3130248618874657e-05,4.377595675254309e-06
-12.35,1.3996000108836882e-05,2.1229538580954614e-06,3.344277758963101e-05,3.7779174442949545e-05,1.4485072027582786e-05,8.460169386279007e-06,2.165755347169967e-06,2.204541351475141e-05,3.1377217968454e-05,7.326581693321996e-06,2.4485634640215512e-06,2.0006555132859016e-06,8.438586028722354e-06,2.3745156585882648e-05,4.825461900880778e-06
-12.25,1.4997844172869519e-05,2.4569016559981185e-06,3.58758470005742e-05,3.9365482320112066e-05,1.547499461160038e-05,9.432671226873842e-06,2.416338610478889e-06,2.362647835410435e-05,3.3435620744479216e-05,7.839681062724025e-06,2.699391916433515e-06,2.3231492378155695e-06,9.071629283530968e-06,2.5626374977369828e-05,5.171844067033111e-06
